customer_id,name,email_id,address,gender,age,joining_date,registered,order_id,orders,spent,job,hobbies,is_married,_errors,_warnings
amxjo131,Joseph Rice,josephrice131@slingacademy.com,"91773 Miller Shoal Diaztown, FL 38841",male,43,07-12-2022 20:15,05-05-2019,null,7,568.29,Artist,Playing sports,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxga386,Gary Moore,garymoore386@slingacademy.com,"6450 John Lodge Territon, KY 95945",male,71,07-12-2021 20:15,20-05-2020,null,11,568.92,Artist,Swimming,TRUE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxj944,John Walker,johnwalker944@slingacademy.com,"27265 Murray Island Kevinfort, PA 63231",male,44,07-12-2022 20:15,04-04-2020,null,11,497.12,Clerk,Painting,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxer176,Eric Carter,ericcarter176@slingacademy.com,USNS Knight FPO AA 76532,male,38,07-12-2022 20:15,30-01-2019,null,17,834.6,Butcher,Playing musical instruments,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxwi427,William Jackson,williamjackson427@slingacademy.com,"170 Jackson Loaf Kristenland, AS 48876",male,58,10-12-2022 20:15,01-07-2022,null,14,151.59,Engineer,Reading,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxni228,Nicole Jones,nicolejones228@slingacademy.com,"14354 Baker Harbor Apt. 017 Ericville, HI 11192",female,33,07-12-2022 20:15,07-08-2021,null,19,33.17,Unemployed,Running,TRUE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxda980,David Davis,daviddavis980@slingacademy.com,"021 Katherine Mall Jameston, DC 24685",male,59,07-12-2022 20:15,16-06-2022,null,9,970.96,Doctor,Playing sports,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxja889,Jason Montgomery,jasonmontgomery889@slingacademy.com,"14657 Scott Loop Apt. 735 Port Ashley, NH 34470",male,58,07-12-2023 20:15,13-11-2021,null,12,676.2,Waitress,Collecting,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxke695,Kent Weaver,kentweaver695@slingacademy.com,"6644 Mitchell Burg Victorhaven, KS 66356",male,61,07-01-2022 20:15,11-06-2023,null,1,674.37,Clerk,Hiking,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxda573,Darrell Dillon,darrelldillon573@slingacademy.com,"PSC 7267, Box 9911 APO AE 49343",male,50,07-0-2022 20:15,13-09-2022,null,12,750.72,Dentist,Watching movies,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxja322,Jacqueline Wang,jacquelinewang322@slingacademy.com,"16963 Stewart Curve Suite 27 South Cameron, ND 25136",female,22,07-12-2022 20:15,08-02-2023,null,12,962.47,Housewife,Collecting,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxjo185,Jodi Gonzalez,jodigonzalez185@slingacademy.com,"378 Johnson Oval South Stacie, RI 76332",female,69,07-12-2022 20:15,25-06-2021,null,12,68.67,Baker,Photography,FALSE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxom769,Omar Martin,omarmartin769@slingacademy.com,Unit 9103 Box 4771 DPO AA 16592,male,28,07-12-2022 20:15,28-05-2023,null,3,162.58,Doctor,Gardening,TRUE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxni473,Nicole Lara,nicolelara473@slingacademy.com,"9822 Lisa Courts Johnhaven, IL 80438",female,77,07-01-2022 20:15,03-03-2023,null,17,309.81,Janitor,Hiking,TRUE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
amxja753,Jason Brown,jasonbrown753@slingacademy.com,"7310 Romero Summit East Scotttown, DC 53183",male,63,07-14-2022  20:15:39,05-12-2022,null,13,763.27,Lawyer,Fishing,TRUE,"{""order_id_is_null_or_empty"":""Column order_id is null or empty""}",null
